author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300935887/;Москва;rent;flat;3;6;4;140.0;500000;0;Пресненский;Большая Садовая ;10;Маяковская
ID 18835544;official_representative;https://www.cian.ru/rent/flat/278216280/;Москва;rent;flat;7;12;2;90.0;1000000;0;Тверской; Охотный Ряд;2;Охотный ряд
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301508796/;Москва;rent;flat;60;78;3;120.0;360000;0;Пресненский;1-й Красногвардейский проезд;22с1;Деловой центр
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299073557/;Москва;rent;flat;5;12;3;115.0;300000;0;Тверской;1-й Тверской-Ямской переулок;11;Маяковская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/299746207/;Москва;rent;flat;11;12;3;117.2;350000;0;Хамовники;Ружейный переулок;3;Смоленская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302218569/;Москва;rent;flat;8;9;1;48.0;100000;0;Хамовники;Ружейный переулок;4С1;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301525928/;Москва;rent;flat;11;16;3;127.0;350000;0;Хамовники;Ружейный переулок;3;Смоленская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/300578046/;Москва;rent;flat;3;5;4;145.0;380000;0;Хамовники;Пожарский переулок;9;Кропоткинская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301930194/;Москва;rent;flat;4;28;2;45.0;90000;0;Филевский парк; Василисы Кожиной;13;Багратионовская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300660839/;Москва;rent;flat;3;4;4;150.0;380000;0;Хамовники;Пожарский переулок;9;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299518351/;Москва;rent;flat;7;10;4;232.0;750000;0;Якиманка; Малая Полянка;2;Полянка
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301706310/;Москва;rent;flat;8;9;1;34.0;40000;0;; Александры Монаховой;84к1;Бунинская аллея
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/298688609/;Москва;rent;flat;6;8;3;140.0;400000;0;Тверской;Тверская ;9;Охотный ряд
АБ Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/299784922/;Москва;rent;flat;2;7;4;320.0;1700000;0;Хамовники;переулок Хилков;1;Парк Культуры
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300507704/;Москва;rent;flat;6;15;1;19.6;44400;0;; Красулинская;19;Филатов Луг
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299600147/;Москва;rent;flat;7;10;4;232.0;750000;0;Якиманка; Малая Полянка;2;Полянка
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/301554876/;Москва;rent;flat;2;8;4;320.0;1700000;0;Хамовники;переулок Хилков;1;Парк Культуры
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/301895285/;Москва;rent;flat;14;14;1;40.0;80000;0;Красносельский;Новая Басманная ;17;Красные ворота
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302124958/;Москва;rent;flat;9;12;3;120.0;650000;0;Хамовники;Трубецкая ;12;Фрунзенская
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/295068150/;Москва;rent;flat;10;12;4;153.0;950000;0;Хамовники; Ефремова;10с1к4/6;Спортивная
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/302222519/;Москва;rent;flat;1;25;1;16.0;25000;0;; Бачуринская;13;Коммунарка
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299776601/;Москва;rent;flat;6;16;4;165.0;600000;0;Арбат; Новый Арбат;27;Смоленская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300609570/;Москва;rent;flat;3;12;4;130.0;630000;0;Хамовники; Ефремова;10;Фрунзенская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302253241/;Москва;rent;flat;2;9;2;40.0;70000;0;Нагорный;Черноморский бульвар;7К1;Чертановская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300076574/;Москва;rent;flat;9;11;4;170.0;1000000;0;Хамовники;Трубецкая ;12;Фрунзенская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/296780319/;Москва;rent;flat;4;13;3;145.0;700000;0;Хамовники;Погодинская ;2;Фрунзенская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302238111/;Москва;rent;flat;8;22;3;53.0;120000;0;Хорошево-Мневники;3-я Хорошевская ;17А;Октябрьское поле
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298218175/;Москва;rent;flat;17;79;3;100.0;650000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301171666/;Москва;rent;flat;31;85;2;85.0;300000;0;Пресненский;1-й Красногвардейский проезд;21с1;Деловой центр
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302212036/;Москва;rent;flat;1;9;1;45.0;43000;0;Ясенево;Новоясеневский проспект;19К4;Новоясеневская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/287692606/;Москва;rent;flat;5;6;3;131.0;350000;0;Пресненский;Малый Козихинский переулок;12;Пушкинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299783268/;Москва;rent;flat;7;12;4;112.0;250000;0;Замоскворечье;Мытная ;7с1;Серпуховская
Иван Музалевский;realtor;https://www.cian.ru/rent/flat/299776651/;Москва;rent;flat;6;8;2;43.6;90000;0;Мещанский;Цветной бульвар;20/1;Цветной бульвар
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299106832/;Москва;rent;flat;5;12;3;115.0;300000;0;Тверской;1-й Тверской-Ямской переулок;11;Маяковская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/296855765/;Москва;rent;flat;14;14;4;220.0;1000000;0;Дорогомилово;Студенческая ;20к1;Студенческая
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/301836382/;Москва;rent;flat;5;26;1;34.2;55000;0;Солнцево;Боровское шоссе;2к6;Говорово
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302250817/;Москва;rent;flat;2;21;4;115.0;350000;0;Раменки;Мосфильмовская ;88к6;Раменки
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298905708/;Москва;rent;flat;1;2;3;170.0;550000;0;Замоскворечье;Садовническая ;61С2;Павелецкая
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301763646/;Москва;rent;flat;8;19;3;60.0;85000;0;Останкинский;Березовая аллея;17к2;Ботанический сад
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/295726232/;Москва;rent;flat;4;9;4;204.0;1000000;0;Хамовники;Погодинская ;4;Фрунзенская
